endpoint,anchor,input_form,source,n_common_sentences_filtered,delta_row_context_loss,delta_isolation_loss,delta_context_gain,se_delta_context_gain
coherent86_alpha075,chck82_slow_scale1p75,no_special,bnc_spoken,120,-0.021164467559719922,-0.0012829015856065478,0.019881565974113377,0.009688749613321898
coherent86_alpha075,chck82_slow_scale1p75,no_special,childes,106,-0.009620200550473799,-0.0034642775655536855,0.0061559229849201145,0.011229832925279926
coherent86_alpha075,chck82_slow_scale1p75,no_special,gutenberg,119,-0.011091916575370467,-0.009556352074782387,0.0015355645005880785,0.011018151078354518
coherent86_alpha075,chck82_slow_scale1p75,no_special,open_subtitles,120,-0.032581217611732424,-0.009529427631059661,0.023051789980672765,0.01019322090771122
coherent86_alpha075,chck82_slow_scale1p75,no_special,simple_wiki,108,-0.0020720407849660625,0.004578670003899821,0.006650710788865884,0.009965683364271534
coherent86_alpha075,chck82_slow_scale1p75,no_special,switchboard,51,0.004019121328989665,-0.006041141126450955,-0.01006026245544062,0.009718609200662757
coherent_special_98097_alpha075,chck82_slow_scale1p75,no_special,bnc_spoken,120,-0.014784995952019623,-0.0063497554515682475,0.008435240500451377,0.01418519512213693
coherent_special_98097_alpha075,chck82_slow_scale1p75,no_special,childes,106,-0.02154439587711921,0.10737854378045462,0.12892293965757384,0.04259294474398173
coherent_special_98097_alpha075,chck82_slow_scale1p75,no_special,gutenberg,119,0.0003545691490079425,0.010441931559383368,0.010087362410375425,0.016529114510124537
coherent_special_98097_alpha075,chck82_slow_scale1p75,no_special,open_subtitles,120,-0.031979741760490774,0.00576438498586261,0.037744126746353385,0.019272944805584
coherent_special_98097_alpha075,chck82_slow_scale1p75,no_special,simple_wiki,108,-0.001802985108009091,0.0046043408413728075,0.006407325949381899,0.01588946243254517
coherent_special_98097_alpha075,chck82_slow_scale1p75,no_special,switchboard,51,-0.011078421829962264,-0.024536412318839747,-0.013457990488877483,0.018575979175155223
coherent_special_98098_alpha075,chck82_slow_scale1p75,no_special,bnc_spoken,120,-0.015379198729351628,-0.003795796859776601,0.011583401869575027,0.015563560294495914
coherent_special_98098_alpha075,chck82_slow_scale1p75,no_special,childes,106,-0.03408244434894924,0.12593133989451777,0.16001378424346702,0.04685204377326601
coherent_special_98098_alpha075,chck82_slow_scale1p75,no_special,gutenberg,119,0.0026082050020047346,0.018880002028426202,0.016271797026421467,0.01693078067087365
coherent_special_98098_alpha075,chck82_slow_scale1p75,no_special,open_subtitles,120,-0.0354795080658126,0.010910047482320806,0.046389555548133406,0.02320675208165263
coherent_special_98098_alpha075,chck82_slow_scale1p75,no_special,simple_wiki,108,0.006851107244276338,0.004578525510927041,-0.0022725817333492967,0.018102159701663487
coherent_special_98098_alpha075,chck82_slow_scale1p75,no_special,switchboard,51,-0.007530056780167655,-0.003001217237290214,0.004528839542877441,0.016069562075346242
chck82_slow_scale1p75,coherent86_alpha075,no_special,bnc_spoken,120,0.021164467559719922,0.0012829015856065478,-0.019881565974113377,0.009688749613321898
chck82_slow_scale1p75,coherent86_alpha075,no_special,childes,106,0.009620200550473799,0.0034642775655536855,-0.0061559229849201145,0.011229832925279926
chck82_slow_scale1p75,coherent86_alpha075,no_special,gutenberg,119,0.011091916575370467,0.009556352074782387,-0.0015355645005880785,0.011018151078354518
chck82_slow_scale1p75,coherent86_alpha075,no_special,open_subtitles,120,0.032581217611732424,0.009529427631059661,-0.023051789980672765,0.01019322090771122
chck82_slow_scale1p75,coherent86_alpha075,no_special,simple_wiki,108,0.0020720407849660625,-0.004578670003899821,-0.006650710788865884,0.009965683364271534
chck82_slow_scale1p75,coherent86_alpha075,no_special,switchboard,51,-0.004019121328989665,0.006041141126450955,0.01006026245544062,0.009718609200662757
coherent_special_98097_alpha075,coherent86_alpha075,no_special,bnc_spoken,120,0.006379471607700301,-0.0050668538659616996,-0.011446325473662,0.0142121558629618
coherent_special_98097_alpha075,coherent86_alpha075,no_special,childes,106,-0.01192419532664541,0.11084282134600831,0.12276701667265373,0.04114779759246815
coherent_special_98097_alpha075,coherent86_alpha075,no_special,gutenberg,119,0.011446485724378409,0.019998283634165757,0.008551797909787348,0.02253110811902598
coherent_special_98097_alpha075,coherent86_alpha075,no_special,open_subtitles,120,0.0006014758512416544,0.015293812616922272,0.014692336765680618,0.019602059542996216
coherent_special_98097_alpha075,coherent86_alpha075,no_special,simple_wiki,108,0.00026905567695697147,2.567083747298629e-05,-0.0002433848394839852,0.018686037875706038
coherent_special_98097_alpha075,coherent86_alpha075,no_special,switchboard,51,-0.015097543158951928,-0.018495271192388793,-0.003397728033436864,0.017522386008283364
coherent_special_98098_alpha075,coherent86_alpha075,no_special,bnc_spoken,120,0.0057852688303682955,-0.0025128952741700536,-0.008298164104538349,0.013597394440754322
coherent_special_98098_alpha075,coherent86_alpha075,no_special,childes,106,-0.02446224379847544,0.12939561746007144,0.1538578612585469,0.04412847654496353
coherent_special_98098_alpha075,coherent86_alpha075,no_special,gutenberg,119,0.0137001215773752,0.02843635410320859,0.01473623252583339,0.022542827156461373
coherent_special_98098_alpha075,coherent86_alpha075,no_special,open_subtitles,120,-0.002898290454080173,0.020439475113380467,0.02333776556746064,0.020770795603533468
coherent_special_98098_alpha075,coherent86_alpha075,no_special,simple_wiki,108,0.0089231480292424,-1.4449297278015702e-07,-0.00892329252221518,0.02091165289311333
coherent_special_98098_alpha075,coherent86_alpha075,no_special,switchboard,51,-0.011549178109157319,0.0030399238891607406,0.01458910199831806,0.013823782549169782
coherent86_alpha075,chck82_slow_scale1p75,with_special,bnc_spoken,120,-0.020335571005610596,0.0028447520652359042,0.023180323070846498,0.009288869882951634
coherent86_alpha075,chck82_slow_scale1p75,with_special,childes,106,-0.009408226871614115,0.018036183131012223,0.02744441000262634,0.013213800514475724
coherent86_alpha075,chck82_slow_scale1p75,with_special,gutenberg,119,-0.008283794041676056,-0.004282885026617148,0.004000909015058908,0.010171418848289298
coherent86_alpha075,chck82_slow_scale1p75,with_special,open_subtitles,120,-0.030674844937069186,-0.008775889903093533,0.021898955033975653,0.009378026799304802
coherent86_alpha075,chck82_slow_scale1p75,with_special,simple_wiki,107,-0.002800645585232806,-0.00023672339793677643,0.0025639221872960295,0.010185569057341795
coherent86_alpha075,chck82_slow_scale1p75,with_special,switchboard,51,0.001310028391433697,-0.008467631250181618,-0.009777659641615316,0.009649170449285219
coherent_special_98097_alpha075,chck82_slow_scale1p75,with_special,bnc_spoken,120,-0.02118472586735152,-0.08376932337123436,-0.06258459750388283,0.03919979365587017
coherent_special_98097_alpha075,chck82_slow_scale1p75,with_special,childes,106,-0.0241873556223134,-0.3781662021268995,-0.3539788465045861,0.08849587946831744
coherent_special_98097_alpha075,chck82_slow_scale1p75,with_special,gutenberg,119,-0.0030563744117638896,-0.19901298043443313,-0.19595660602266923,0.06028929732153449
coherent_special_98097_alpha075,chck82_slow_scale1p75,with_special,open_subtitles,120,-0.029790126673469787,-0.2944460657758706,-0.2646559391024008,0.07629842385208194
coherent_special_98097_alpha075,chck82_slow_scale1p75,with_special,simple_wiki,107,-0.013200800535138522,-0.11408514651321919,-0.10088434597808067,0.058979784757232354
coherent_special_98097_alpha075,chck82_slow_scale1p75,with_special,switchboard,51,-0.017294279756207093,-0.14508004694738807,-0.12778576719118098,0.05095093602999619
coherent_special_98098_alpha075,chck82_slow_scale1p75,with_special,bnc_spoken,120,-0.021325576153079357,-0.09169037978766331,-0.07036480363458394,0.03551953183195107
coherent_special_98098_alpha075,chck82_slow_scale1p75,with_special,childes,106,-0.0358946943309453,-0.33755117638693777,-0.3016564820559925,0.08687843306602668
coherent_special_98098_alpha075,chck82_slow_scale1p75,with_special,gutenberg,119,-0.0002585445558104445,-0.20747811886278458,-0.20721957430697413,0.062103417902690895
coherent_special_98098_alpha075,chck82_slow_scale1p75,with_special,open_subtitles,120,-0.03159327677810021,-0.3199599371323226,-0.2883666603542224,0.07681334242101985
coherent_special_98098_alpha075,chck82_slow_scale1p75,with_special,simple_wiki,107,-0.0037505021579911776,-0.10640114051437824,-0.10265063835638706,0.05815686228509683
coherent_special_98098_alpha075,chck82_slow_scale1p75,with_special,switchboard,51,-0.019118961092888142,-0.14306286477721206,-0.12394390368432391,0.04835550278531881
chck82_slow_scale1p75,coherent86_alpha075,with_special,bnc_spoken,120,0.020335571005610596,-0.0028447520652359042,-0.023180323070846498,0.009288869882951634
chck82_slow_scale1p75,coherent86_alpha075,with_special,childes,106,0.009408226871614115,-0.018036183131012223,-0.02744441000262634,0.013213800514475724
chck82_slow_scale1p75,coherent86_alpha075,with_special,gutenberg,119,0.008283794041676056,0.004282885026617148,-0.004000909015058908,0.010171418848289298
chck82_slow_scale1p75,coherent86_alpha075,with_special,open_subtitles,120,0.030674844937069186,0.008775889903093533,-0.021898955033975653,0.009378026799304802
chck82_slow_scale1p75,coherent86_alpha075,with_special,simple_wiki,107,0.002800645585232806,0.00023672339793677643,-0.0025639221872960295,0.010185569057341795
chck82_slow_scale1p75,coherent86_alpha075,with_special,switchboard,51,-0.001310028391433697,0.008467631250181618,0.009777659641615316,0.009649170449285219
coherent_special_98097_alpha075,coherent86_alpha075,with_special,bnc_spoken,120,-0.0008491548617409232,-0.08661407543647025,-0.08576492057472933,0.04058005866479125
coherent_special_98097_alpha075,coherent86_alpha075,with_special,childes,106,-0.014779128750699286,-0.39620238525791174,-0.3814232565072124,0.09311608785298593
coherent_special_98097_alpha075,coherent86_alpha075,with_special,gutenberg,119,0.005227419629912166,-0.19473009540781597,-0.19995751503772816,0.06112784923006793
coherent_special_98097_alpha075,coherent86_alpha075,with_special,open_subtitles,120,0.0008847182635994007,-0.2856701758727771,-0.28655489413637647,0.07671664486619224
coherent_special_98097_alpha075,coherent86_alpha075,with_special,simple_wiki,107,-0.010400154949905717,-0.11384842311528241,-0.1034482681653767,0.06332861573033507
coherent_special_98097_alpha075,coherent86_alpha075,with_special,switchboard,51,-0.01860430814764079,-0.13661241569720647,-0.11800810754956569,0.04878335922376527
coherent_special_98098_alpha075,coherent86_alpha075,with_special,bnc_spoken,120,-0.0009900051474687644,-0.09453513185289922,-0.09354512670543044,0.037421414268466346
coherent_special_98098_alpha075,coherent86_alpha075,with_special,childes,106,-0.02648646745933118,-0.35558735951795,-0.3291008920586188,0.0907465138390079
coherent_special_98098_alpha075,coherent86_alpha075,with_special,gutenberg,119,0.008025249485865612,-0.20319523383616744,-0.21122048332203305,0.06397966577835787
coherent_special_98098_alpha075,coherent86_alpha075,with_special,open_subtitles,120,-0.0009184318410310273,-0.3111840472292291,-0.3102656153881981,0.07649663076796441
coherent_special_98098_alpha075,coherent86_alpha075,with_special,simple_wiki,107,-0.0009498565727583716,-0.10616441711644146,-0.10521456054368308,0.06225632552296786
coherent_special_98098_alpha075,coherent86_alpha075,with_special,switchboard,51,-0.020428989484321838,-0.13459523352703043,-0.11416624404270859,0.04663973129135409
